income,credit_score,loan_amount,employment_years,existing_debt,approved
146958,670,61532,18,19149,1
171867,730,21052,10,53521,1
156932,608,105689,12,45740,1
128694,436,52076,13,4956,0
144879,501,58420,12,75731,0
135268,735,5671,0,66641,1
79886,612,5163,7,63811,0
162337,416,46424,11,52160,0
112498,543,114538,18,51313,0
137727,836,58744,11,63232,1
151324,374,75331,7,15417,0
41023,685,15634,7,24729,0
66090,509,9798,28,30099,1
92221,774,27420,20,29961,1
89820,717,34300,12,12602,1
25769,646,94881,11,9256,0
84735,828,15749,28,34681,1
89925,478,109131,15,64789,0
30311,481,30121,0,43361,0
128355,324,42487,12,64503,0
110305,479,98947,25,34540,0
155608,800,38361,6,26536,1
109478,460,26223,27,63043,0
147537,476,77930,25,78532,0
174503,584,19056,4,56575,1
155523,362,33380,7,2871,0
27747,455,31035,24,46002,0
148855,768,35620,26,49812,1
90725,348,24877,13,22626,0
154981,383,60316,22,59979,0
109654,660,69041,29,76057,1
144346,447,113940,12,66668,0
92435,641,58352,14,42998,1
81886,775,35911,22,63814,1
91803,362,37784,16,45607,0
56551,659,8191,14,7812,1
141216,626,38160,19,61844,1
36394,440,95536,17,70093,0
94092,514,109576,17,2179,0
28890,734,69641,1,43798,0
66606,617,54723,3,74601,0
112313,331,8631,29,8275,1
166699,584,11172,0,50574,1
33792,604,47080,3,47857,0
179969,728,94097,17,20700,1
93148,776,95353,4,39464,1
149243,585,25281,18,42351,1
145174,443,33671,14,13869,1
179555,723,56431,27,60315,1
149358,318,95900,7,20954,0
73555,317,112210,19,31555,0
42159,670,97961,16,63353,0
135510,474,33602,0,45026,0
131530,493,93789,11,46976,0
105077,801,56399,25,45095,1
60920,412,28472,18,14270,0
44457,413,54230,14,30908,0
103953,521,78616,8,15523,0
77995,563,12099,6,62433,0
34692,354,30431,1,47068,0
62065,757,61492,28,19991,1
124299,461,101722,8,10775,0
36534,679,52684,9,77801,0
65397,386,35111,1,61250,0
116387,354,110387,18,16673,0
26016,775,68936,10,27056,0
80591,477,27614,12,6614,0
48247,690,97260,9,7415,0
49300,648,46991,13,43884,0
107798,307,75476,17,16964,0
34268,612,65920,18,37726,0
111807,742,99294,21,37044,1
37185,627,68530,8,57149,0
164643,353,41224,24,37544,0
63044,538,12788,6,49976,0
76214,528,33082,27,32252,1
139752,350,94570,2,3832,0
73984,563,106015,19,34148,0
65774,717,81816,5,61240,0
27568,395,88588,26,77116,0
145151,387,21531,20,53459,0
158767,377,93340,1,38402,0
149375,587,99439,28,57727,1
161330,419,49857,5,38578,0
64504,790,15142,2,22318,1
38986,751,53355,15,75715,0
86858,799,14866,29,77787,1
154312,464,75067,7,20466,0
37666,481,115990,1,45475,0
63660,768,108634,16,60142,0
159633,306,108814,8,26564,0
51854,629,69027,29,22412,1
89505,450,62906,11,51001,0
129488,384,33138,2,57649,0
47662,446,97601,10,60957,0
33392,680,34956,0,35517,0
55535,847,112268,22,13156,1
138569,584,109797,12,23064,0
77256,381,81295,14,25711,0
114135,813,10439,25,30106,1
152478,822,52241,4,65458,1
60222,685,47533,20,16589,1
102373,770,33270,29,7214,1
148684,418,83815,16,27127,0
35965,695,44279,24,5141,1
49538,831,114787,22,28884,1
133066,560,28888,23,2708,1
138252,555,22630,24,18375,1
164182,525,66063,5,15088,1
123806,352,40144,27,57615,0
162982,799,57161,20,45046,1
135989,805,101718,21,10014,1
115982,663,96074,10,64425,0
146626,579,82360,17,3273,1
144176,457,55979,3,47135,0
156278,358,102661,2,30881,0
147409,427,11979,12,78077,0
48419,414,31189,22,8712,0
75015,508,47600,8,74704,0
147096,825,64560,20,52874,1
132059,820,83040,5,69087,1
135687,536,66558,25,12297,1
112939,580,91205,29,27128,1
174213,658,11910,27,68368,1
130878,500,62713,11,78958,0
87623,577,51857,1,32920,0
100450,534,39964,2,11156,0
118426,793,90667,2,11108,1
142845,303,30227,27,31845,0
178371,741,10978,11,2800,1
68585,328,92527,14,42712,0
134225,408,22153,8,2610,0
89044,374,64765,22,77603,0
134556,445,104084,7,33872,0
27693,427,113212,10,10728,0
120259,341,44071,15,20583,0
50939,655,117990,25,7263,1
177906,340,74519,26,67450,0
43047,333,14503,24,19456,0
51105,316,65703,21,65942,0
100766,452,69379,3,13689,0
171779,677,100457,27,32934,1
178048,641,62866,0,33276,1
69262,326,21905,23,19873,0
150117,586,50838,6,13050,1
48776,467,63279,1,66216,0
153376,567,94489,23,21644,1
162848,754,31806,27,62021,1
117787,700,50000,4,37125,1
152948,775,27168,6,66899,1
80016,429,75119,3,42291,0
165546,662,43714,4,35060,1
46959,591,59093,23,1538,1
161602,670,60419,0,36176,1
144101,328,54145,0,41520,0
28748,448,110432,14,25675,0
38545,595,82425,19,18287,0
152659,310,97949,18,174,0
98530,811,82811,28,34998,1
118557,412,7461,9,53312,0
86087,486,19291,27,12112,1
93840,526,51804,17,75225,0
143451,609,81971,27,44814,1
76005,397,98471,2,50719,0
64353,354,69946,10,33919,0
77733,705,103989,14,73155,0
90318,368,89080,26,71569,0
179736,611,66332,29,41328,1
92172,588,82794,10,70482,0
118264,847,35841,16,24618,1
51736,447,53758,16,34675,0
137859,766,119726,5,18919,1
137181,543,81272,4,4173,0
156926,790,42643,7,26400,1
115084,806,55408,1,50445,1
32392,664,48950,15,70305,0
80680,781,61849,19,37564,1
75859,500,105500,23,45814,0
150657,453,33044,11,79747,0
95467,749,110469,5,27962,0
123506,800,20997,0,70533,1
134751,372,84751,3,56184,0
143906,595,103605,16,10578,1
168760,316,28911,12,18624,0
50342,516,60533,17,39194,0
131308,360,87566,4,389,0
131081,341,99870,29,67391,0
114045,324,19571,23,13794,0
59698,338,113255,23,58002,0
135078,430,99463,26,35531,0
105623,797,62941,2,52815,1
47671,528,63005,10,4986,0
118384,407,91250,12,32298,0
111202,471,63712,3,1481,0
76663,734,48541,25,56408,1
40708,777,28387,26,69267,1
116906,401,98980,13,16835,0
74811,823,53908,21,27798,1
158883,574,90457,10,64887,0
81250,343,18057,26,19477,0
137547,316,69028,9,17266,0
149249,629,115804,18,43526,1
59754,796,60731,17,11889,1
167483,311,29858,5,24335,0
158983,617,53689,26,11254,1
164752,515,49638,28,11442,1
109896,638,96598,14,46289,0
96295,380,107386,20,53747,0
125689,784,51486,29,37327,1
36111,673,25567,9,16199,0
62504,499,34739,4,72827,0
157874,836,62804,25,112,1
33155,765,113821,28,19581,1
64384,388,8754,4,59722,0
137561,567,32044,9,16523,1
72254,788,72260,27,66960,1
46918,837,71912,4,19552,1
110981,346,13706,2,10808,0
55306,587,13894,22,72525,0
172718,315,23037,5,23620,0
71843,700,88986,3,887,0
145975,385,86942,17,31802,0
121601,549,56612,27,26049,1
132512,690,34725,8,77789,1
172443,634,10926,16,7846,1
136472,818,109555,28,46220,1
158121,436,14496,12,46163,0
128727,797,61447,26,3765,1
137893,776,106604,14,45270,1
45932,522,34806,29,75277,0
142796,671,93199,19,22931,1
54855,701,46321,16,55633,1
32400,742,107031,12,51913,0
142858,789,70095,15,25991,1
40151,572,27656,21,54845,0
91690,825,60147,3,55312,1
29499,458,96396,4,10561,0
31295,451,54666,4,16901,0
145885,487,87368,8,62875,0
151071,397,43787,16,25917,0
84040,430,118767,12,62120,0
37183,470,67946,1,1988,0
168946,482,26727,12,14256,1
141336,663,113351,21,28230,1
57711,338,100081,20,59778,0
30539,826,115058,26,45833,1
151063,796,73056,22,22625,1
158629,815,8081,18,32088,1
63360,648,39196,2,79650,0
158272,696,41735,9,41167,1
46357,460,109749,1,71291,0
144121,315,85102,12,65303,0
102505,792,84578,18,76361,1
27869,725,30498,25,4117,1
75108,407,81865,16,60710,0
137296,749,36656,20,67054,1
119179,610,72695,13,30949,1
115272,469,42900,11,22547,0
63467,845,89899,20,68136,1
48328,713,52701,11,64619,0
116412,550,113777,10,61842,0
160059,440,24033,6,26990,0
83871,573,15805,3,16193,0
178471,715,40851,18,30109,1
153391,338,31832,0,19233,0
111416,328,68437,27,34510,0
95271,776,18944,23,1306,1
69064,617,24873,28,3849,1
132450,544,45372,2,12360,0
44830,571,94464,12,45800,0
173501,739,20379,14,36963,1
162965,538,41751,1,54330,0
141381,676,105082,10,51707,1
72333,565,94822,3,18689,0
159508,658,10110,18,29084,1
101213,639,59341,28,40387,1
161967,688,17087,16,74816,1
175810,302,28762,2,2642,0
55746,728,87617,27,42137,1
74377,441,105483,17,79832,0
79045,675,14596,7,55561,1
122888,623,108555,21,62260,1
132455,445,112539,24,15438,0
161672,592,23313,23,48442,1
118179,731,118175,25,2994,1
70714,698,71549,18,1813,1
127946,643,119914,4,55276,0
134616,439,28705,6,41243,0
130983,486,72364,20,62912,0
149123,360,78445,7,60272,0
174661,679,108892,27,42051,1
68484,739,83645,4,78854,0
107989,618,7023,16,65618,1
61212,601,64796,4,1920,0
68525,643,85073,3,77219,0
88208,310,97197,21,76872,0
58828,361,69429,18,2093,0
174783,525,109195,26,12905,1
28420,452,66627,20,24351,0
121752,609,38848,1,30981,0
156373,542,42804,10,73903,0
140294,792,20379,21,70821,1
149019,665,64664,12,78513,1
90726,629,32766,14,19874,1
166564,406,114126,11,50931,0
140668,525,73099,21,7674,1
31102,517,41060,20,50516,0
143015,805,99733,21,60686,1
51641,558,74122,10,69212,0
179165,816,21087,6,2426,1
128746,353,53868,27,68498,0
61631,346,28225,4,29943,0
97991,820,100286,16,66395,1
29014,398,11643,23,44816,0
36093,319,98059,19,4138,0
43070,789,41727,8,75945,0
60777,718,16005,13,4017,1
81958,361,114079,25,10451,0
107074,444,70697,11,62956,0
35729,515,21029,5,10278,0
130864,302,19226,16,43764,0
155858,459,68646,18,1134,1
130510,419,65603,18,62943,0
79748,388,33731,25,54318,0
30801,628,114458,15,60128,0
175262,656,115384,11,21869,1
54592,566,73926,11,5039,0
35647,622,10997,19,21281,1
164788,840,60506,5,10442,1
135627,494,83229,22,73788,0
95316,631,54815,25,27586,1
27368,469,47092,3,53053,0
102575,820,67539,5,50489,1
31655,762,71077,10,67087,0
95031,339,26817,0,12625,0
112922,836,42861,29,34397,1
149046,560,18428,23,58671,1
169475,694,48934,22,66897,1
57097,525,119367,14,26149,0
167038,423,15258,26,60030,1
149862,337,62775,10,69906,0
143834,627,86580,24,5283,1
118848,550,99947,18,7610,1
77921,475,10469,17,43326,0
151141,753,33854,16,14924,1
47677,336,11256,18,76162,0
80609,615,81256,20,869,1
56024,413,38937,13,1014,0
95313,339,104134,26,10103,0
152813,600,6651,17,33458,1
120285,523,55288,27,23248,1
171410,617,89730,18,43516,1
138632,648,30051,14,29061,1
175580,414,32386,14,24170,1
28051,622,80054,3,8024,0
139692,339,116562,6,43803,0
112235,339,21184,12,19296,0
98523,588,38787,2,18257,0
119476,561,26621,15,12855,1
42019,515,80564,8,20025,0
108613,446,82984,7,4458,0
111672,635,64792,19,63610,1
98847,467,50253,12,70843,0
107750,391,39051,16,49831,0
53251,652,54811,16,43427,0
128481,662,35447,16,38506,1
137566,644,88930,0,5668,1
50945,469,105037,7,47195,0
115852,655,35254,18,73233,1
57217,490,89045,5,24417,0
33308,721,62418,2,10751,0
30949,306,119534,26,46218,0
157222,432,19472,4,7352,0
125235,330,116193,12,79052,0
99740,834,8471,14,28927,1
141352,725,112332,13,41094,1
91617,693,100804,28,54122,1
41896,662,13329,22,29493,1
155798,736,39865,15,73539,1
163877,381,51850,17,31707,0
30237,655,59220,21,68814,0
45056,557,117234,28,7296,0
139548,823,98808,21,25398,1
136488,594,113381,10,35842,0
159415,523,11397,2,13261,1
169572,824,102909,21,76709,1
54375,345,40525,9,56704,0
165734,412,58072,9,67173,0
41964,532,95106,29,31781,0
138429,316,88820,20,13652,0
92215,659,89530,15,5103,1
94042,522,28284,11,25500,0
169356,747,66330,1,35529,1
118468,664,88369,8,18452,1
34435,625,30122,23,49393,0
103832,766,75553,2,31174,1
76293,713,86906,23,64450,1
103781,754,99788,29,35436,1
68919,532,67812,24,47406,0
146172,523,12999,29,63059,1
119758,711,27436,14,15954,1
81573,634,47963,2,12356,0
84101,521,7096,18,2187,1
51646,336,118737,17,77243,0
129185,577,30279,7,35098,1
48049,495,113899,25,21225,0
123116,783,119245,16,3606,1
122379,541,31201,7,57620,0
93385,623,24715,6,32828,0
151131,491,34309,29,26489,1
48289,316,20078,6,14387,0
135226,823,61614,2,69463,1
125793,700,10105,0,71832,1
34823,321,99848,3,2591,0
66975,773,7839,24,48516,1
34540,419,73920,4,62061,0
41364,509,48619,0,66736,0
160683,605,47821,14,61753,1
52663,569,18493,4,11087,0
76991,584,22069,12,30816,0
129182,526,117443,7,23408,0
119704,680,12531,7,136,1
74115,759,42051,4,17413,1
116007,306,12736,27,59500,0
174143,328,12710,8,56358,0
36938,332,72155,0,66197,0
116680,378,18975,3,32854,0
29000,758,67424,2,76240,0
126042,837,50603,1,16322,1
118610,781,28252,7,6968,1
128691,729,85797,22,27518,1
63304,584,6431,8,51925,0
94449,815,79603,1,59848,1
107986,398,42481,13,1700,0
176836,696,97573,13,23199,1
133940,788,14557,3,44589,1
63494,338,79971,29,32115,0
28373,570,108302,5,61934,0
168233,456,5162,10,54316,1
122532,374,39742,2,5520,0
117658,429,24675,7,36455,0
148633,383,78997,2,41605,0
125386,321,22015,13,14955,0
52350,758,55057,27,44049,1
118008,838,37591,12,13917,1
119297,681,98583,12,70293,0
50351,739,105318,1,78581,0
113668,320,14833,12,64925,0
139585,602,12896,28,70269,1
171377,383,37972,18,30954,1
100353,752,54733,26,72617,1
90953,686,46800,5,41458,0
82458,806,101044,15,21113,1
45358,556,10347,1,43939,0
28267,826,64063,7,29345,1
107745,461,100850,16,46313,0
114588,462,7643,22,69166,0
63513,823,45785,1,47861,1
36338,570,23681,9,49298,0
156484,791,55026,27,47221,1
32543,507,108864,15,44942,0
130891,838,20892,5,3453,1
85692,359,52299,27,54935,0
69425,729,22073,1,43370,0
63756,608,107304,1,8328,0
43888,819,35682,25,15534,1
72295,326,102798,12,36320,0
139352,498,101894,23,49170,0
108042,686,19289,14,8640,1
110999,648,12927,27,30049,1
42955,835,53330,1,5618,1
62841,677,71707,6,56053,0
95640,826,82454,2,1920,1
163429,452,112439,7,43937,0
86476,505,109646,22,69724,0
69811,754,70428,13,12207,1
176222,572,55601,23,65774,1
96180,535,82465,29,32972,1
137856,820,7539,22,10799,1
93450,800,107263,26,71088,1
177424,416,116487,21,28916,0
136888,685,27669,28,70463,1
135448,643,75968,6,76700,0
39397,694,25644,20,37158,1
156800,363,23745,6,71696,0
144180,371,33228,0,61510,0
91234,573,39521,16,58692,0
64954,619,102239,8,61744,0
104459,637,31928,29,15810,1
172851,665,23322,20,5126,1
84163,794,62714,12,30009,1
76934,465,92896,20,192,0
79098,843,67292,18,36413,1
30486,310,34055,20,12816,0
164407,600,47891,18,39082,1
111900,401,86912,24,65048,0
151020,724,11588,24,50940,1
127795,691,95536,21,32130,1
167202,513,11304,16,40142,1
112508,387,12345,22,36468,0
143324,700,34300,22,30698,1
85566,345,29259,29,10655,0
52192,762,96006,9,47897,0
26062,609,93553,9,30075,0
109076,385,20352,3,9359,0
114780,391,38365,7,42056,0
177617,541,24446,21,51831,1
46689,301,7336,19,59191,0
36174,524,67032,19,33272,0
113461,415,80415,17,14671,0
151174,402,102852,13,27048,0
128033,493,103876,17,76274,0
34348,465,12521,27,25963,0
179786,389,76707,13,43954,0
63102,421,28481,19,72309,0
99460,442,23474,20,717,1
127634,405,51760,23,11676,0
114930,727,60718,14,4434,1
31801,604,49629,21,49810,0
128150,616,50232,29,4994,1
179697,308,91544,3,4234,0
26542,372,72169,12,69300,0
46677,658,55669,26,43949,1
64081,522,83021,22,37405,0
118105,715,114153,7,34872,1
44065,669,74184,17,42215,0
113092,563,52945,11,23185,0
79693,617,18140,22,43442,1
51962,383,88457,13,51759,0
53295,617,19357,1,41153,0
38807,410,116672,17,77535,0
157396,550,73673,23,2581,1
116267,682,70633,1,51717,0
44870,306,81943,10,2763,0
51790,758,101111,8,55480,0
143874,383,83258,11,38759,0
50289,507,17924,16,76067,0
40485,689,74286,14,25307,0
69482,613,98269,24,11064,1
111188,321,79071,16,76848,0
29748,709,62326,25,37548,1
165507,814,95023,28,36945,1
28709,426,35651,25,47937,0
148961,313,75202,17,6476,0
55355,311,53777,21,51756,0
169188,386,21994,5,2382,0
67918,823,72263,16,49683,1
77224,836,64634,22,45276,1
64298,600,105158,23,33402,0
105219,542,15800,17,26946,1
86629,421,42823,7,79698,0
91040,446,113575,8,73933,0
53016,655,68878,5,22335,0
48960,608,23708,4,45095,0
58591,587,17819,11,79930,0
128333,606,79905,24,27197,1
139821,848,68870,28,22010,1
61395,651,14283,27,24123,1
154695,611,35573,10,2890,1
178772,358,83707,24,8026,1
59620,334,35933,0,64925,0
153148,744,10774,10,68842,1
45559,392,77055,18,33665,0
118396,506,15983,8,9277,1
46732,652,101468,26,42239,0
116362,631,101334,1,47664,0
38843,458,23133,11,48008,0
139065,323,19939,3,14683,0
96726,703,5781,3,670,1
42640,815,119586,17,17889,1
77528,663,61700,14,55612,0
63413,681,32624,18,44535,1
77638,831,11823,12,78542,1
135133,451,23489,18,54319,0
131357,719,44961,16,21639,1
175159,549,34118,5,64712,1
163186,416,105417,15,16633,0
103859,811,86816,23,34660,1
124657,634,27263,11,68975,1
167047,717,18565,18,32172,1
36023,594,25354,4,59197,0
46447,670,47951,16,58847,0
150899,485,96179,25,11577,1
48959,545,28648,22,77299,0
91203,567,55729,25,20176,1
144156,536,46971,28,44386,1
34337,829,23658,0,63972,0
71427,320,26253,27,41003,0
86529,819,69166,26,19996,1
127023,399,53563,24,35931,0
109665,777,31390,23,35710,1
130787,597,93664,22,34693,1
58307,825,56578,9,35740,1
152016,633,84025,14,77241,1
29835,301,108850,22,76502,0
45159,674,37658,20,17374,1
146790,592,11852,20,76674,1
130616,617,99986,10,45913,0
103752,801,7551,12,66025,1
80284,680,76947,4,44516,0
82043,313,66001,0,26069,0
122007,803,54159,23,56233,1
107844,530,56707,11,59049,0
52532,383,38243,10,39178,0
147402,429,26800,16,32821,0
143012,444,80939,3,51727,0
161785,327,62828,14,60935,0
81178,365,12239,24,16999,0
74407,462,11710,29,62522,0
75990,528,26384,8,38712,0
154473,560,26038,20,64551,1
83141,748,45846,19,40172,1
179865,723,92983,18,33722,1
81570,759,72821,18,10625,1
26015,600,42991,11,67165,0
86813,602,84057,4,76509,0
52712,586,118193,9,6859,0
125497,694,11971,16,41609,1
164487,309,34139,4,43307,0
137816,569,90445,21,21839,1
153778,660,82067,15,27216,1
87292,556,85257,6,52953,0
48833,432,89742,27,60593,0
160230,575,42711,8,72075,1
45309,812,11530,2,49522,1
31970,612,16116,14,4886,0
97474,583,70794,15,7485,1
71540,420,5282,17,31455,0
176456,406,84473,13,16767,0
43017,503,6898,2,28453,0
100880,464,9135,11,76280,0
130570,604,11629,8,53442,1
33702,796,114472,27,51877,1
156456,455,90120,6,12226,0
25404,666,94087,8,22588,0
37763,550,70031,12,78976,0
174456,633,38380,17,31709,1
123142,810,117507,4,47788,1
165932,592,22071,12,37019,1
105642,319,25074,3,44948,0
75612,581,95724,1,65133,0
48574,300,72843,15,66458,0
48524,418,44901,8,27526,0
35916,334,16205,8,73493,0
29809,497,60661,5,52198,0
169528,784,10906,10,43395,1
146288,358,7591,21,24031,1
63765,460,67987,23,75542,0
70106,505,68370,21,37701,0
78932,311,85685,0,25939,0
173172,789,115454,3,49145,1
82091,575,110487,12,20324,0
46949,541,59400,22,22867,0
62744,515,30150,12,203,0
133319,550,36852,12,16544,1
117193,425,47870,1,15899,0
61187,516,57756,8,29063,0
163311,605,61481,23,3748,1
149454,484,6283,7,66629,0
39489,338,38691,6,20884,0
86877,522,6125,3,25183,0
74922,483,72065,17,71246,0
119074,794,31170,2,19259,1
62131,726,13438,27,35959,1
140765,477,25095,5,33457,0
98963,727,21154,11,2103,1
131884,593,13004,11,65901,1
150917,450,14752,20,44535,1
49285,683,60426,27,16103,1
62626,607,113896,7,78278,0
44198,635,31819,21,12391,1
175830,674,107168,21,28901,1
40254,307,97051,0,67914,0
69238,640,29217,3,50357,0
26252,428,93708,20,38437,0
64764,651,37994,27,35503,1
102709,657,20036,10,75403,1
78682,816,82275,2,41258,1
84494,794,102756,12,33724,1
106317,385,54416,24,64286,0
90215,474,14587,16,74842,0
